location,budget,time_available,food_type,queue_tolerance,weather,recommended_place
main_building,low,medium,full_meal,medium,good,Main_Cafeteria
main_building,low,short,snack,low,good,Yarche
main_building,medium,short,coffee,low,good,Bus_Stop_Coffee
main_building,high,medium,coffee,medium,good,Starbooks
main_building,high,medium,full_meal,high,good,Main_Cafeteria
main_building,medium,very_short,snack,low,good,Vending_Machine
main_building,low,very_short,coffee,low,bad,Vending_Machine
main_building,high,short,coffee,low,bad,Starbooks
main_building,medium,medium,pancakes,medium,good,Siberian_Pancakes
main_building,low,very_short,snack,low,bad,Vending_Machine
second_building,low,very_short,snack,low,good,Vending_Machine
second_building,medium,short,coffee,medium,good,Second_Building_Cafe
second_building,medium,medium,full_meal,medium,good,Main_Cafeteria
second_building,low,short,snack,low,bad,Vending_Machine
second_building,high,short,coffee,high,good,Second_Building_Cafe
second_building,low,medium,full_meal,high,good,Main_Cafeteria
second_building,medium,very_short,snack,low,bad,Vending_Machine
second_building,high,medium,pancakes,medium,good,Siberian_Pancakes
second_building,high,short,coffee,medium,bad,Second_Building_Cafe
bus_stop,low,short,coffee,low,good,Bus_Stop_Coffee
bus_stop,medium,short,coffee,medium,good,Bus_Stop_Coffee
bus_stop,low,very_short,snack,low,good,Yarche
bus_stop,high,medium,full_meal,medium,good,Main_Cafeteria
bus_stop,low,short,snack,low,bad,Yarche
bus_stop,medium,very_short,coffee,low,good,Bus_Stop_Coffee
campus_center,medium,short,pancakes,medium,good,Siberian_Pancakes
campus_center,high,medium,coffee,medium,good,Starbooks
campus_center,low,medium,full_meal,medium,good,Main_Cafeteria
campus_center,medium,short,snack,low,good,Yarche
campus_center,high,short,pancakes,high,good,Siberian_Pancakes
campus_center,low,very_short,snack,low,bad,Vending_Machine
